sentence_id,condition,embedding_level,model,continuation_start_pos,sentence_start,continuation
45,gap_filler,3,gpt2,CCONJ,I know what my mother thinks the reporter said the homeowners claimed the burglar stole,"and he has that in his mind.

But let me ask you about my father. You"
45,gap_filler,3,gpt2,NUM,I know what my mother thinks the reporter said the homeowners claimed the burglar stole,"three packages, one containing a car, one containing jewelry, one containing jewelry, and one containing cash"
45,gap_filler,3,gpt2,PRON,I know what my mother thinks the reporter said the homeowners claimed the burglar stole,their keys... she thinks the homeowner will kill her. This is what I say when I hear someone
45,gap_filler,3,gpt2,ADP,I know what my mother thinks the reporter said the homeowners claimed the burglar stole,"from a jewelry store. (But she did what she thought was the reporter's job, which was"
45,gap_filler,3,gpt2,PUNCT,I know what my mother thinks the reporter said the homeowners claimed the burglar stole,", but I am a bit of a big fan of his reporting, and I have to agree with"
45,gap_filler,3,grnn,PRON,I know what my mother thinks the reporter said the homeowners claimed the burglar stole,"it from the crowd “ and every very <unk> price of the is met in times , ” “ it"
45,gap_filler,3,grnn,ADP,I know what my mother thinks the reporter said the homeowners claimed the burglar stole,from her congruence .
45,gap_filler,3,grnn,ADP,I know what my mother thinks the reporter said the homeowners claimed the burglar stole,from their workers and actually smashed it into the apartments .
45,gap_filler,3,grnn,ADP,I know what my mother thinks the reporter said the homeowners claimed the burglar stole,from them .
45,gap_filler,3,grnn,ADP,I know what my mother thinks the reporter said the homeowners claimed the burglar stole,from their friends .
46,no_gap_no_filler,3,gpt2,ADP,I know that my mother thinks the reporter said the homeowners claimed the burglar stole,"from them before the burglar did. And so, they have no way of explaining to their readers"
46,no_gap_no_filler,3,gpt2,PRON,I know that my mother thinks the reporter said the homeowners claimed the burglar stole,"her purse and that is wrong.

""She was at work. She was at the office"
46,no_gap_no_filler,3,gpt2,SYM,I know that my mother thinks the reporter said the homeowners claimed the burglar stole,"$100,000 in jewelry from her home. But this is a piece of shit article, it"
46,no_gap_no_filler,3,gpt2,PRON,I know that my mother thinks the reporter said the homeowners claimed the burglar stole,their home but I don't. I also understand that my father is upset but his wife is not
46,no_gap_no_filler,3,gpt2,DET,I know that my mother thinks the reporter said the homeowners claimed the burglar stole,the whole house and when my mom told me it was true when I told her I don't believe
46,no_gap_no_filler,3,grnn,DET,I know that my mother thinks the reporter said the homeowners claimed the burglar stole,the tape would fill him in his closet .
46,no_gap_no_filler,3,grnn,CCONJ,I know that my mother thinks the reporter said the homeowners claimed the burglar stole,"and a deal they did with a <unk> to decide what was happening in the mansion , leaving strange to"
46,no_gap_no_filler,3,grnn,CCONJ,I know that my mother thinks the reporter said the homeowners claimed the burglar stole,and kept him .
46,no_gap_no_filler,3,grnn,DET,I know that my mother thinks the reporter said the homeowners claimed the burglar stole,a book that would authorize a barber who knew when he retired .
46,no_gap_no_filler,3,grnn,PRON,I know that my mother thinks the reporter said the homeowners claimed the burglar stole,her name .
